-0.39,-0.41,-0.97,0.68,-1.18,0.27
5.07,-0.8,1.8,0.36,-0.35,0.25
-1.57,-0.52,0.13,-0.71,0.29,0.27
2.53,-1.39,-0.1,2.8,-2.01,0.29
-0.85,-0.88,1.75,-0.51,2.24,0.27
1.83,-2.1,-0.02,0.03,-0.07,0.29
2.24,0.13,1.48,0.17,1.47,0.3
1.54,0.28,2.81,-0.05,0.91,0.26
1.41,1.23,3.4,-2.21,3.22,0.31
0.1,-1.52,-0.67,-1.27,-1.08,0.29
1.42,-0.63,1.86,-0.16,0.17,0.26
1.27,0.29,0.62,-0.28,-0.17,0.3
1.74,0.5,0.75,0.08,1.91,0.3
-1.44,0.41,0.08,0.12,0.35,0.28
2.69,-0.34,1.7,-0.56,0.62,0.28
0.59,0.87,1.17,-0.43,0.47,0.29
0,-0.15,-1.96,0.63,-0.26,0.29
0.03,-0.69,-2.48,1.07,-1.5,0.31
3.54,2.44,0.12,0.91,0.1,0.28
0.44,3.31,0.11,0.23,-0.68,0.3
-1.34,2.12,1.03,-0.32,0.69,0.36
3.11,1.05,0.66,0.3,-2.2,0.31
-0.77,0.1,-1.61,-0.45,0.53,0.31
-5.51,-4.28,0.59,0.22,0.37,0.35
1.43,1.08,2.2,-1.37,0.03,0.31
2.73,2.71,-1,1.9,-0.74,0.33
2.86,0.62,-0.13,-0.89,0.8,0.31
2.6,3.47,1.56,1.17,-0.65,0.31
-0.03,5.19,0.15,-1.01,-0.94,0.35
1.01,2.66,2.03,-1.14,-0.53,0.33
0.72,4.68,3.56,-2.82,-0.11,0.38
-1.21,4.71,0.33,-0.17,-1.49,0.35
-2.51,0.32,-1.98,1.3,0.06,0.38
2.14,3.35,-0.46,0.39,-0.95,0.34
-5.66,-5.1,-1.63,1.64,-1.52,0.41
-1.44,1.37,0.5,0.15,0.78,0.38
-1.63,-0.41,0.95,-0.36,1.79,0.35
-7.91,-3.12,0.43,-0.09,0.8,0.41
-1.06,-1.14,0.56,-1.68,2.37,0.4
3.86,-6.45,2.69,-3.48,4.25,0.45
1.4,3.34,-4.69,4.13,-6.62,0.4
0.13,2.02,-1.19,0.7,-0.34,0.4
8.15,9.1,2.27,0.96,-3.16,0.43
0.78,3.06,-2.22,1.99,-0.99,0.36
3.99,1.87,0.37,0.86,-1.6,0.39
3.89,0.43,-2.48,2.33,-3.67,0.32
-4.33,2.29,1.09,-1.73,1.73,0.33
2.41,6.43,0.85,-0.62,-2.42,0.27
4.58,3.54,2.73,0.48,2.7,0.31
-0.89,0.72,1.44,0.3,1.45,0.31
3.11,2.44,-2.5,0.2,-0.95,0.32
-3.09,0.53,-3.3,1.01,-2.62,0.39
0.37,-0.04,-1.7,1.34,-2.34,0.36
3.05,5.75,-0.53,-0.81,0.13,0.33
-4.06,4.51,4.8,-4.62,6.46,0.4
-3.75,-2.91,1.28,-0.16,2.45,0.39
0.2,-1.59,-0.59,1.05,-1.1,0.38
9.05,6.18,-1.13,2.69,-3.65,0.43
2.28,7,0.85,0.43,-1.92,0.45
0.69,-0.28,0.73,-1.41,2.76,0.43
-2.72,-1.41,5.39,-3.13,3.72,0.48
1.34,2.27,1.01,-0.7,0.48,0.42
4.03,2.81,0.3,-1.99,0.87,0.43
0.42,-0.42,2.86,-1.32,2.7,0.44
5.43,2.39,-0.92,0.43,-2.43,0.42
-3.94,3.52,-0.01,-1.86,1.76,0.43
-1.25,-0.44,1.67,-1.55,1.38,0.53
-5.84,-4.16,0.91,2.07,0.83,0.46
2.64,-0.45,-0.51,-1.43,-0.35,0.46
1.46,-0.8,-0.03,0.41,0.06,0.53
